"id";"tipo";"id_marca";"id_modelo";"id_modelo_ano";"name"
"6853";"1";"13";"291";"2010-1";"2010 Gasolina"
"6854";"1";"13";"291";"2009-1";"2009 Gasolina"
"6855";"1";"13";"291";"2008-1";"2008 Gasolina"
"6856";"1";"13";"291";"2007-1";"2007 Gasolina"
"6857";"1";"13";"291";"2006-1";"2006 Gasolina"
"6858";"1";"13";"291";"2005-1";"2005 Gasolina"
"6859";"1";"13";"291";"2004-1";"2004 Gasolina"
"6860";"1";"13";"291";"2003-1";"2003 Gasolina"
"6861";"1";"13";"291";"2002-1";"2002 Gasolina"
"6862";"1";"22";"8445";"2021-1";"2021 Gasolina"
"6863";"1";"22";"8445";"2020-1";"2020 Gasolina"
"6864";"1";"22";"8445";"2019-1";"2019 Gasolina"
"6865";"1";"22";"8446";"2021-1";"2021 Gasolina"
"6866";"1";"22";"8446";"2020-1";"2020 Gasolina"
"6867";"1";"22";"8446";"2019-1";"2019 Gasolina"
"6868";"1";"22";"8447";"2021-1";"2021 Gasolina"
"6869";"1";"22";"8447";"2020-1";"2020 Gasolina"
"6870";"1";"22";"8447";"2019-1";"2019 Gasolina"
"6871";"1";"13";"10096";"32000-1";"32000 Gasolina"
"6872";"1";"13";"10096";"2024-1";"2024 Gasolina"
"6873";"1";"13";"10096";"2023-1";"2023 Gasolina"
"6874";"1";"22";"8746";"2020-1";"2020 Gasolina"
"6875";"1";"13";"10097";"32000-1";"32000 Gasolina"
"6876";"1";"13";"10097";"2024-1";"2024 Gasolina"
"6877";"1";"13";"10097";"2023-1";"2023 Gasolina"
"6878";"1";"22";"8448";"2019-1";"2019 Gasolina"
"6879";"1";"13";"10945";"32000-1";"32000 Gasolina"
"6880";"1";"13";"10945";"2024-1";"2024 Gasolina"
